Response,treatment,Mean_SE,.group
plant_height_cm,T3,12 ± 0.42,a
plant_height_cm,T0,12.33 ± 0.42,ab
plant_height_cm,T4,13.67 ± 0.42,abc
plant_height_cm,T1,14.33 ± 0.42,bc
plant_height_cm,T2,14.67 ± 0.42,c
shoot_dry_weight_g,T4,1.07 ± 1.24,a
shoot_dry_weight_g,T2,2.6 ± 1.24,a
shoot_dry_weight_g,T0,3.15 ± 1.24,a
shoot_dry_weight_g,T3,3.4 ± 1.24,a
shoot_dry_weight_g,T1,3.49 ± 1.24,a
shoot_fresh_weight_g,T3,17.33 ± 3.01,a
shoot_fresh_weight_g,T4,18 ± 3.01,a
shoot_fresh_weight_g,T2,20.33 ± 3.01,a
shoot_fresh_weight_g,T1,24.67 ± 3.01,a
shoot_fresh_weight_g,T0,28 ± 3.01,a
root_fresh_weight_g,T0,2.7 ± 0.28,a
root_fresh_weight_g,T1,3.28 ± 0.28,a
root_fresh_weight_g,T3,3.56 ± 0.28,a
root_fresh_weight_g,T4,3.67 ± 0.28,a
root_fresh_weight_g,T2,3.7 ± 0.28,a
root_dry_weight_g,T0,0.79 ± 0.13,a
root_dry_weight_g,T1,1.07 ± 0.13,ab
root_dry_weight_g,T2,1.2 ± 0.13,abc
root_dry_weight_g,T3,1.57 ± 0.13,bc
root_dry_weight_g,T4,1.7 ± 0.13,c
pod_fresh_weight_g,T0,14.9 ± 0.55,a
pod_fresh_weight_g,T3,22.7 ± 0.55,b
pod_fresh_weight_g,T1,23.87 ± 0.55,b
pod_fresh_weight_g,T2,24.77 ± 0.55,b
pod_fresh_weight_g,T4,28.7 ± 0.55,c
pod_dry_weight_g,T0,10.53 ± 0.67,a
pod_dry_weight_g,T2,11.87 ± 0.67,ab
pod_dry_weight_g,T1,12.23 ± 0.67,ab
pod_dry_weight_g,T3,12.27 ± 0.67,ab
pod_dry_weight_g,T4,14.2 ± 0.67,b
pods_per_plant,T0,1.33 ± 0.56,a
pods_per_plant,T2,1.67 ± 0.56,a
pods_per_plant,T3,2 ± 0.56,a
pods_per_plant,T1,2 ± 0.56,a
pods_per_plant,T4,3.33 ± 0.56,a
grains_per_pod,T0,36.33 ± 1.47,a
grains_per_pod,T2,44.33 ± 1.47,b
grains_per_pod,T3,48.33 ± 1.47,b
grains_per_pod,T1,50 ± 1.47,b
grains_per_pod,T4,77.33 ± 1.47,c
pod_length_cm,T0,9.67 ± 0.5,a
pod_length_cm,T2,10.67 ± 0.5,ab
pod_length_cm,T3,10.9 ± 0.5,ab
pod_length_cm,T1,11.93 ± 0.5,ab
pod_length_cm,T4,12.36 ± 0.5,b
grain_k_pct,T1,0.25 ± 0.02,a
grain_k_pct,T3,0.36 ± 0.02,b
grain_k_pct,T0,0.43 ± 0.02,bc
grain_k_pct,T2,0.46 ± 0.02,c
grain_k_pct,T4,0.61 ± 0.02,d
plant_k_pct,T0,0.28 ± 0.01,a
plant_k_pct,T2,0.5 ± 0.01,b
plant_k_pct,T3,0.51 ± 0.01,b
plant_k_pct,T1,0.59 ± 0.01,c
plant_k_pct,T4,0.9 ± 0.01,d
plant_n_pct,T0,0.74 ± 0.03,a
plant_n_pct,T2,1.05 ± 0.03,b
plant_n_pct,T3,1.24 ± 0.03,c
plant_n_pct,T1,1.25 ± 0.03,c
plant_n_pct,T4,1.3 ± 0.03,c
grain_n_pct,T0,0.84 ± 0.04,a
grain_n_pct,T2,0.96 ± 0.04,ab
grain_n_pct,T1,1.11 ± 0.04,b
grain_n_pct,T4,1.12 ± 0.04,b
grain_n_pct,T3,1.13 ± 0.04,b
plant_p_pct,T0,0.09 ± 0.01,a
plant_p_pct,T2,0.12 ± 0.01,a
plant_p_pct,T3,0.13 ± 0.01,ab
plant_p_pct,T1,0.13 ± 0.01,ab
plant_p_pct,T4,0.16 ± 0.01,b
grain_p_pct,T0,0.02 ± 0,a
grain_p_pct,T1,0.04 ± 0,b
grain_p_pct,T3,0.12 ± 0,c
grain_p_pct,T2,0.14 ± 0,d
grain_p_pct,T4,0.19 ± 0,e
