Response,treatment,n,Mean,SD,SE,Min,Max
plant_height_cm,T0,3,12.333333333333334,0.5773502691896257,0.3333333333333333,12,13
plant_height_cm,T1,3,14.333333333333334,0.5773502691896257,0.3333333333333333,14,15
plant_height_cm,T2,3,14.666666666666666,0.5773502691896257,0.3333333333333333,14,15
plant_height_cm,T3,3,12,1,0.5773502691896258,11,13
plant_height_cm,T4,3,13.666666666666666,0.5773502691896257,0.3333333333333333,13,14
shoot_dry_weight_g,T0,3,3.1533333333333333,3.642146802825682,2.102794437039542,0.25,7.24
shoot_dry_weight_g,T1,3,3.49,2.686186888509435,1.5508707231745658,0.39,5.13
shoot_dry_weight_g,T2,3,2.6,1.2500799974401637,0.7217340230306453,1.29,3.78
shoot_dry_weight_g,T3,3,3.4000000000000004,2.0454583838347826,1.1809459485231886,1.07,4.9
shoot_dry_weight_g,T4,3,1.0699999999999998,1.1170049238924598,0.6449030934954492,0.24,2.34
shoot_fresh_weight_g,T0,3,28,4,2.3094010767585034,24,32
shoot_fresh_weight_g,T1,3,24.666666666666668,2.309401076758503,1.3333333333333333,22,26
shoot_fresh_weight_g,T2,3,20.333333333333332,2.0816659994661326,1.2018504251546631,18,22
shoot_fresh_weight_g,T3,3,17.333333333333332,6.110100926607787,3.527668414752788,12,24
shoot_fresh_weight_g,T4,3,18,8.888194417315589,5.131601439446884,11,28
root_fresh_weight_g,T0,3,2.6966666666666668,0.5960145412096365,0.3441091558083149,2.01,3.08
root_fresh_weight_g,T1,3,3.283333333333333,0.31754264805429405,0.18333333333333326,3.1,3.65
root_fresh_weight_g,T2,3,3.7,0.264575131106459,0.15275252316519466,3.5,4
root_fresh_weight_g,T3,3,3.56,0.5047771785649584,0.29143323992525855,2.98,3.9
root_fresh_weight_g,T4,3,3.6666666666666665,0.6658328118479392,0.3844187531556932,2.9,4.1
root_dry_weight_g,T0,3,0.7866666666666667,0.10503967504392485,0.06064468466220083,0.68,0.89
root_dry_weight_g,T1,3,1.0733333333333333,0.15534906930308057,0.0896908269804914,0.9,1.2
root_dry_weight_g,T2,3,1.2,0.1562049935181331,0.0901849950564579,1.02,1.3
root_dry_weight_g,T3,3,1.5733333333333333,0.31005375877955965,0.17900962109463406,1.22,1.8
root_dry_weight_g,T4,3,1.7,0.2645751311064591,0.1527525231651947,1.4,1.9
pod_fresh_weight_g,T0,3,14.9,0.7810249675906658,0.45092497528228964,14,15.4
pod_fresh_weight_g,T1,3,23.866666666666667,1.474222959166399,0.8511430223202471,22.2,25
pod_fresh_weight_g,T2,3,24.766666666666666,0.8621678104251703,0.49777281743560237,24,25.7
pod_fresh_weight_g,T3,3,22.7,1.1532562594670792,0.6658328118479391,21.8,24
pod_fresh_weight_g,T4,3,28.7,1.212435565298215,0.7000000000000006,27.4,29.8
pod_dry_weight_g,T0,3,10.533333333333333,0.6429100507328634,0.37118429085533466,9.8,11
pod_dry_weight_g,T1,3,12.233333333333334,0.8621678104251705,0.4977728174356025,11.3,13
pod_dry_weight_g,T2,3,11.866666666666667,1.1718930554164626,0.6765927710061478,11,13.2
pod_dry_weight_g,T3,3,12.266666666666667,1.6165807537309518,0.9333333333333331,10.8,14
pod_dry_weight_g,T4,3,14.2,1.1532562594670792,0.6658328118479391,12.9,15.1
pods_per_plant,T0,3,1.3333333333333333,0.5773502691896257,0.3333333333333333,1,2
pods_per_plant,T1,3,2,1,0.5773502691896258,1,3
pods_per_plant,T2,3,1.6666666666666667,1.1547005383792515,0.6666666666666666,1,3
pods_per_plant,T3,3,2,1,0.5773502691896258,1,3
pods_per_plant,T4,3,3.3333333333333335,0.5773502691896257,0.3333333333333333,3,4
grains_per_pod,T0,3,36.333333333333336,2.0816659994661326,1.2018504251546631,34,38
grains_per_pod,T1,3,50,1,0.5773502691896258,49,51
grains_per_pod,T2,3,44.333333333333336,4.163331998932265,2.4037008503093262,41,49
grains_per_pod,T3,3,48.333333333333336,1.5275252316519468,0.881917103688197,47,50
grains_per_pod,T4,3,77.33333333333333,1.5275252316519468,0.881917103688197,76,79
pod_length_cm,T0,3,9.666666666666666,0.28867513459481287,0.16666666666666666,9.5,10
pod_length_cm,T1,3,11.933333333333334,1.2897028081435402,0.7446102634562892,10.5,13
pod_length_cm,T2,3,10.666666666666666,0.7637626158259734,0.4409585518440985,10,11.5
pod_length_cm,T3,3,10.9,0.556776436283002,0.3214550253664317,10.3,11.4
pod_length_cm,T4,3,12.356666666666666,0.5810622456616278,0.33547644394866927,11.87,13
grain_k_pct,T0,3,0.43433333333333335,0.03370954365359062,0.019462214102659987,0.403,0.47
grain_k_pct,T1,3,0.254,0.03915354390090378,0.02260530911091463,0.217,0.295
grain_k_pct,T2,3,0.45799999999999996,0.04161730409336963,0.024027761721253472,0.41,0.484
grain_k_pct,T3,3,0.363,0.03551056180912941,0.02050203241957571,0.328,0.399
grain_k_pct,T4,3,0.6073333333333333,0.023007245235649884,0.013283239230114196,0.584,0.63
plant_k_pct,T0,3,0.2806666666666667,0.04085747585611882,0.023589074683938838,0.234,0.31
plant_k_pct,T1,3,0.5913333333333333,0.01850225211517057,0.010682280239308053,0.57,0.603
plant_k_pct,T2,3,0.5023333333333333,0.011590225767142484,0.006691619966628251,0.49,0.513
plant_k_pct,T3,3,0.5073333333333333,0.016563010998406475,0.009562658858520711,0.49,0.523
plant_k_pct,T4,3,0.9033333333333333,0.03511884584284244,0.020275875100994052,0.87,0.94
plant_n_pct,T0,3,0.74,0.07,0.04041451884327381,0.67,0.81
plant_n_pct,T1,3,1.2475666666666667,0.07836646816932183,0.0452449014929982,1.1573,1.2982
plant_n_pct,T2,3,1.0533000000000001,0.06304736314866789,0.0364004120855795,1.0166,1.1261
plant_n_pct,T3,3,1.2407000000000001,0.0251334438547526,0.01451080057520376,1.2175,1.2674
plant_n_pct,T4,3,1.3037666666666665,0.011547438388375734,0.006666916661979349,1.297,1.3171
grain_n_pct,T0,3,0.842,0.07542545989253231,0.04354690957270486,0.755,0.889
grain_n_pct,T1,3,1.113,0.053028294334251456,0.030615900008546786,1.067,1.171
grain_n_pct,T2,3,0.965,0.14930170796075973,0.08619938128161553,0.796,1.079
grain_n_pct,T3,3,1.133,0.058923679450624995,0.034019602192461564,1.081,1.197
grain_n_pct,T4,3,1.12,0.024248711305964205,0.013999999999999955,1.094,1.142
plant_p_pct,T0,3,0.095,0.005291502622129186,0.0030550504633038962,0.089,0.099
plant_p_pct,T1,3,0.131,0.0020000000000000018,0.0011547005383792527,0.129,0.133
plant_p_pct,T2,3,0.11566666666666667,0.0075718777944003635,0.004371625682868,0.107,0.121
plant_p_pct,T3,3,0.13066666666666665,0.020550750189064465,0.011864981153705122,0.111,0.152
plant_p_pct,T4,3,0.16033333333333333,0.02722743714221618,0.015719768163402127,0.139,0.191
grain_p_pct,T0,3,0.015,0.005,0.002886751345948129,0.01,0.02
grain_p_pct,T1,3,0.03866666666666667,0.0061101009266077855,0.003527668414752787,0.032,0.044
grain_p_pct,T2,3,0.14233333333333334,0.00776745346515402,0.004484541349024565,0.136,0.151
grain_p_pct,T3,3,0.11833333333333333,0.007637626158259732,0.004409585518440984,0.11,0.125
grain_p_pct,T4,3,0.19033333333333333,0.007234178138070241,0.00417665469538056,0.182,0.195
