treatment,emmean,SE,df,lower.CL,upper.CL,.group,Response
T0,28.705666666666687,14.523121724792874,9,-18.306879098413674,75.71821243174705, a,N_uptake_mg
T4,36.0384,14.523121724792887,9,-10.9741457650804,83.0509457650804, a,N_uptake_mg
T2,40.38794000000001,14.523121724792885,9,-6.624605765080389,87.4004857650804, a,N_uptake_mg
T1,56.34301666666668,14.523121724792887,9,9.330470901586274,103.35556243174707, a,N_uptake_mg
T3,61.890249999999995,14.523121724792889,9,14.877704234919584,108.90279576508041, a,N_uptake_mg
T0,3.6267333333333314,1.6137465337599393,9,-1.5970976177021585,8.850564284368822, a,P_uptake_mg
T4,4.4411,1.6137465337599404,9,-0.7827309510354938,9.664930951035494, a,P_uptake_mg
T2,4.446066666666666,1.6137465337599404,9,-0.7777642843688275,9.6698976177021585, a,P_uptake_mg
T1,5.9460999999999995,1.6137465337599401,9,0.722269048964506,11.169930951035493, a,P_uptake_mg
T3,6.437433333333333,1.6137465337599404,9,1.2136023822978395,11.661264284368826, a,P_uptake_mg
T0,11.65720000000001,6.776603764136652,9,-10.279226660214725,33.593626660214746, a,K_uptake_mg
T2,19.04103333333334,6.776603764136658,9,-2.8953933268814147,40.977459993548095, a,K_uptake_mg
T4,25.252333333333343,6.7766037641366585,9,3.3159066731185867,47.1887599935481, a,K_uptake_mg
T3,25.440500000000007,6.7766037641366585,9,3.5040733397852506,47.376926660214764, a,K_uptake_mg
T1,26.78013333333334,6.776603764136658,9,4.843706673118586,48.71655999354809, a,K_uptake_mg
