contrast,estimate,SE,df,t.ratio,p.value,Response
T0 - T1,-27.637349999999987,20.53879571119743,9,-1.3456168700744482,0.67279575472228,N_uptake_mg
T0 - T2,-11.682273333333317,20.538795711197427,9,-0.5687905706644877,0.9765175017810799,N_uptake_mg
T0 - T3,-33.18458333333331,20.53879571119743,9,-1.6157024881084723,0.5234142790305305,N_uptake_mg
T0 - T4,-7.332733333333314,20.538795711197434,9,-0.3570186605116103,0.9958665507647505,N_uptake_mg
T1 - T2,15.95507666666667,20.538795711197434,9,0.7768262994099605,0.9311235474413765,N_uptake_mg
T1 - T3,-5.54723333333332,20.538795711197437,9,-0.270085618034024,0.9985966672730299,N_uptake_mg
T1 - T4,20.304616666666675,20.538795711197437,9,0.9885982095628376,0.8540832455790678,N_uptake_mg
T2 - T3,-21.50230999999999,20.538795711197434,9,-1.0469119174439845,0.827975158270288,N_uptake_mg
T2 - T4,4.349540000000003,20.538795711197434,9,0.21177191015287722,0.9994595618142623,N_uptake_mg
T3 - T4,25.851849999999992,20.538795711197437,9,1.2586838275968615,0.7205175196051157,N_uptake_mg
T0 - T1,-2.319366666666668,2.282182234275879,9,-1.0162933668627858,0.8419149953322116,P_uptake_mg
T0 - T2,-0.8193333333333346,2.2821822342758784,9,-0.359013106415362,0.9957773617927832,P_uptake_mg
T0 - T3,-2.810700000000001,2.282182234275879,9,-1.2315843834845281,0.7350987249276315,P_uptake_mg
T0 - T4,-0.8143666666666679,2.2821822342758793,9,-0.35683682680364953,0.9958746143565047,P_uptake_mg
T1 - T2,1.5000333333333336,2.2821822342758793,9,0.6572802604474238,0.9608543907612828,P_uptake_mg
T1 - T3,-0.49133333333333296,2.2821822342758793,9,-0.21529101662174213,0.9994233121900189,P_uptake_mg
T1 - T4,1.5050000000000003,2.2821822342758797,9,0.6594565400591361,0.9604030507940925,P_uptake_mg
T2 - T3,-1.9913666666666665,2.2821822342758793,9,-0.8725712770691659,0.9000069593604768,P_uptake_mg
T2 - T4,0.004966666666666675,2.2821822342758793,9,0.002176279611712324,0.9999999999938214,P_uptake_mg
T3 - T4,1.9963333333333333,2.2821822342758797,9,0.8747475566808782,0.8992258688437909,P_uptake_mg
T0 - T1,-15.122933333333329,9.583564950070624,9,-1.5780070790068452,0.5438174399229123,K_uptake_mg
T0 - T2,-7.383833333333327,9.583564950070622,9,-0.7704683353013552,0.9329608113790007,K_uptake_mg
T0 - T3,-13.783299999999999,9.583564950070624,9,-1.438222631328692,0.6211586673126877,K_uptake_mg
T0 - T4,-13.595133333333333,9.583564950070626,9,-1.4185883232557572,0.6321254791757127,K_uptake_mg
T1 - T2,7.739100000000001,9.583564950070627,9,0.80753874370549,0.921843343049829,K_uptake_mg
T1 - T3,1.33963333333333,9.583564950070627,9,0.13978444767815312,0.9998956570135178,K_uptake_mg
T1 - T4,1.5277999999999956,9.583564950070627,9,0.15941875575108783,0.9998241775157436,K_uptake_mg
T2 - T3,-6.3994666666666715,9.583564950070627,9,-0.6677542960273368,0.9586521407324369,K_uptake_mg
T2 - T4,-6.211300000000006,9.583564950070627,9,-0.6481199879544022,0.9627184390544478,K_uptake_mg
T3 - T4,0.1881666666666657,9.583564950070627,9,0.019634308072934696,0.9999999588580417,K_uptake_mg
