Response,treatment,Mean,SE,Mean_SE
plant_height_cm,T0,12.333333333333334,0.3333333333333333,12.33 ± 0.33
plant_height_cm,T1,14.333333333333334,0.3333333333333333,14.33 ± 0.33
plant_height_cm,T2,14.666666666666666,0.3333333333333333,14.67 ± 0.33
plant_height_cm,T3,12,0.5773502691896258,12 ± 0.58
plant_height_cm,T4,13.666666666666666,0.3333333333333333,13.67 ± 0.33
shoot_dry_weight_g,T0,3.1533333333333333,2.102794437039542,3.15 ± 2.1
shoot_dry_weight_g,T1,3.49,1.5508707231745658,3.49 ± 1.55
shoot_dry_weight_g,T2,2.6,0.7217340230306453,2.6 ± 0.72
shoot_dry_weight_g,T3,3.4000000000000004,1.1809459485231886,3.4 ± 1.18
shoot_dry_weight_g,T4,1.0699999999999998,0.6449030934954492,1.07 ± 0.64
shoot_fresh_weight_g,T0,28,2.3094010767585034,28 ± 2.31
shoot_fresh_weight_g,T1,24.666666666666668,1.3333333333333333,24.67 ± 1.33
shoot_fresh_weight_g,T2,20.333333333333332,1.2018504251546631,20.33 ± 1.2
shoot_fresh_weight_g,T3,17.333333333333332,3.527668414752788,17.33 ± 3.53
shoot_fresh_weight_g,T4,18,5.131601439446884,18 ± 5.13
root_fresh_weight_g,T0,2.6966666666666668,0.3441091558083149,2.7 ± 0.34
root_fresh_weight_g,T1,3.283333333333333,0.18333333333333326,3.28 ± 0.18
root_fresh_weight_g,T2,3.7,0.15275252316519466,3.7 ± 0.15
root_fresh_weight_g,T3,3.56,0.29143323992525855,3.56 ± 0.29
root_fresh_weight_g,T4,3.6666666666666665,0.3844187531556932,3.67 ± 0.38
root_dry_weight_g,T0,0.7866666666666667,0.06064468466220083,0.79 ± 0.06
root_dry_weight_g,T1,1.0733333333333333,0.0896908269804914,1.07 ± 0.09
root_dry_weight_g,T2,1.2,0.0901849950564579,1.2 ± 0.09
root_dry_weight_g,T3,1.5733333333333333,0.17900962109463406,1.57 ± 0.18
root_dry_weight_g,T4,1.7,0.1527525231651947,1.7 ± 0.15
pod_fresh_weight_g,T0,14.9,0.45092497528228964,14.9 ± 0.45
pod_fresh_weight_g,T1,23.866666666666667,0.8511430223202471,23.87 ± 0.85
pod_fresh_weight_g,T2,24.766666666666666,0.49777281743560237,24.77 ± 0.5
pod_fresh_weight_g,T3,22.7,0.6658328118479391,22.7 ± 0.67
pod_fresh_weight_g,T4,28.7,0.7000000000000006,28.7 ± 0.7
pod_dry_weight_g,T0,10.533333333333333,0.37118429085533466,10.53 ± 0.37
pod_dry_weight_g,T1,12.233333333333334,0.4977728174356025,12.23 ± 0.5
pod_dry_weight_g,T2,11.866666666666667,0.6765927710061478,11.87 ± 0.68
pod_dry_weight_g,T3,12.266666666666667,0.9333333333333331,12.27 ± 0.93
pod_dry_weight_g,T4,14.2,0.6658328118479391,14.2 ± 0.67
pods_per_plant,T0,1.3333333333333333,0.3333333333333333,1.33 ± 0.33
pods_per_plant,T1,2,0.5773502691896258,2 ± 0.58
pods_per_plant,T2,1.6666666666666667,0.6666666666666666,1.67 ± 0.67
pods_per_plant,T3,2,0.5773502691896258,2 ± 0.58
pods_per_plant,T4,3.3333333333333335,0.3333333333333333,3.33 ± 0.33
grains_per_pod,T0,36.333333333333336,1.2018504251546631,36.33 ± 1.2
grains_per_pod,T1,50,0.5773502691896258,50 ± 0.58
grains_per_pod,T2,44.333333333333336,2.4037008503093262,44.33 ± 2.4
grains_per_pod,T3,48.333333333333336,0.881917103688197,48.33 ± 0.88
grains_per_pod,T4,77.33333333333333,0.881917103688197,77.33 ± 0.88
pod_length_cm,T0,9.666666666666666,0.16666666666666666,9.67 ± 0.17
pod_length_cm,T1,11.933333333333334,0.7446102634562892,11.93 ± 0.74
pod_length_cm,T2,10.666666666666666,0.4409585518440985,10.67 ± 0.44
pod_length_cm,T3,10.9,0.3214550253664317,10.9 ± 0.32
pod_length_cm,T4,12.356666666666666,0.33547644394866927,12.36 ± 0.34
grain_k_pct,T0,0.43433333333333335,0.019462214102659987,0.43 ± 0.02
grain_k_pct,T1,0.254,0.02260530911091463,0.25 ± 0.02
grain_k_pct,T2,0.45799999999999996,0.024027761721253472,0.46 ± 0.02
grain_k_pct,T3,0.363,0.02050203241957571,0.36 ± 0.02
grain_k_pct,T4,0.6073333333333333,0.013283239230114196,0.61 ± 0.01
plant_k_pct,T0,0.2806666666666667,0.023589074683938838,0.28 ± 0.02
plant_k_pct,T1,0.5913333333333333,0.010682280239308053,0.59 ± 0.01
