Response,Rank,treatment,Mean
plant_height_cm,1,T2,14.666666666666666
plant_height_cm,2,T1,14.333333333333334
plant_height_cm,3,T4,13.666666666666666
plant_height_cm,4,T0,12.333333333333334
plant_height_cm,5,T3,12
shoot_dry_weight_g,1,T1,3.49
shoot_dry_weight_g,2,T3,3.4000000000000004
shoot_dry_weight_g,3,T0,3.1533333333333333
shoot_dry_weight_g,4,T2,2.6
shoot_dry_weight_g,5,T4,1.0699999999999998
shoot_fresh_weight_g,1,T0,28
shoot_fresh_weight_g,2,T1,24.666666666666668
shoot_fresh_weight_g,3,T2,20.333333333333332
shoot_fresh_weight_g,4,T4,18
shoot_fresh_weight_g,5,T3,17.333333333333332
root_fresh_weight_g,1,T2,3.7
root_fresh_weight_g,2,T4,3.6666666666666665
root_fresh_weight_g,3,T3,3.56
root_fresh_weight_g,4,T1,3.283333333333333
root_fresh_weight_g,5,T0,2.6966666666666668
root_dry_weight_g,1,T4,1.7
root_dry_weight_g,2,T3,1.5733333333333333
root_dry_weight_g,3,T2,1.2
root_dry_weight_g,4,T1,1.0733333333333333
root_dry_weight_g,5,T0,0.7866666666666667
pod_fresh_weight_g,1,T4,28.7
pod_fresh_weight_g,2,T2,24.766666666666666
pod_fresh_weight_g,3,T1,23.866666666666667
pod_fresh_weight_g,4,T3,22.7
pod_fresh_weight_g,5,T0,14.9
pod_dry_weight_g,1,T4,14.2
pod_dry_weight_g,2,T3,12.266666666666667
pod_dry_weight_g,3,T1,12.233333333333334
pod_dry_weight_g,4,T2,11.866666666666667
pod_dry_weight_g,5,T0,10.533333333333333
pods_per_plant,1,T4,3.3333333333333335
pods_per_plant,2,T1,2
pods_per_plant,3,T3,2
pods_per_plant,4,T2,1.6666666666666667
pods_per_plant,5,T0,1.3333333333333333
grains_per_pod,1,T4,77.33333333333333
grains_per_pod,2,T1,50
grains_per_pod,3,T3,48.333333333333336
grains_per_pod,4,T2,44.333333333333336
grains_per_pod,5,T0,36.333333333333336
pod_length_cm,1,T4,12.356666666666666
pod_length_cm,2,T1,11.933333333333334
pod_length_cm,3,T3,10.9
pod_length_cm,4,T2,10.666666666666666
pod_length_cm,5,T0,9.666666666666666
grain_k_pct,1,T4,0.6073333333333333
grain_k_pct,2,T2,0.45799999999999996
grain_k_pct,3,T0,0.43433333333333335
grain_k_pct,4,T3,0.363
grain_k_pct,5,T1,0.254
plant_k_pct,1,T4,0.9033333333333333
plant_k_pct,2,T1,0.5913333333333333
plant_k_pct,3,T3,0.5073333333333333
plant_k_pct,4,T2,0.5023333333333333
plant_k_pct,5,T0,0.2806666666666667
plant_n_pct,1,T4,1.3037666666666665
plant_n_pct,2,T1,1.2475666666666667
plant_n_pct,3,T3,1.2407000000000001
plant_n_pct,4,T2,1.0533000000000001
plant_n_pct,5,T0,0.74
grain_n_pct,1,T3,1.133
grain_n_pct,2,T4,1.12
grain_n_pct,3,T1,1.113
grain_n_pct,4,T2,0.965
grain_n_pct,5,T0,0.842
plant_p_pct,1,T4,0.16033333333333333
plant_p_pct,2,T1,0.131
plant_p_pct,3,T3,0.13066666666666665
plant_p_pct,4,T2,0.11566666666666667
plant_p_pct,5,T0,0.095
grain_p_pct,1,T4,0.19033333333333333
grain_p_pct,2,T2,0.14233333333333334
grain_p_pct,3,T3,0.11833333333333333
grain_p_pct,4,T1,0.03866666666666667
grain_p_pct,5,T0,0.015
