Response,contrast,estimate,SE,df,t.ratio,p.value
plant_height_cm,T0 - T1,-2.000000000000002,0.5577733510227174,10,-3.5856858280031823,0.031646496483727415
plant_height_cm,T0 - T2,-2.3333333333333344,0.5577733510227172,10,-4.183300132670379,0.012642665356286775
plant_height_cm,T0 - T3,0.33333333333333187,0.5577733510227172,10,0.597614304667194,0.9723077194336001
plant_height_cm,T0 - T4,-1.3333333333333348,0.5577733510227172,10,-2.3904572186687894,0.19495322115184366
plant_height_cm,T1 - T2,-0.33333333333333215,0.5577733510227174,10,-0.5976143046671943,0.9723077194336001
plant_height_cm,T1 - T3,2.333333333333334,0.5577733510227173,10,4.183300132670377,0.012642665356286775
plant_height_cm,T1 - T4,0.6666666666666674,0.5577733510227173,10,1.1952286093343945,0.7542498843233937
plant_height_cm,T2 - T3,2.666666666666666,0.5577733510227172,10,4.7809144373375725,0.005204625103956695
plant_height_cm,T2 - T4,0.9999999999999996,0.5577733510227172,10,1.7928429140015891,0.42742684440286693
plant_height_cm,T3 - T4,-1.6666666666666667,0.5577733510227172,10,-2.9880715233359836,0.07987844473719952
shoot_dry_weight_g,T0 - T1,-0.33666666666666706,1.9139882735040759,10,-0.1758979777082475,0.9997449299488281
shoot_dry_weight_g,T0 - T2,0.5533333333333338,1.9139882735040747,10,0.28909964653038706,0.9982009271389306
shoot_dry_weight_g,T0 - T3,-0.2466666666666672,1.9139882735040747,10,-0.1288757460436667,0.99992580974075
shoot_dry_weight_g,T0 - T4,2.083333333333333,1.9139882735040752,10,1.0884775848282633,0.8086006062303511
shoot_dry_weight_g,T1 - T2,0.8900000000000008,1.9139882735040754,10,0.46499762423863444,0.9889292334806218
shoot_dry_weight_g,T1 - T3,0.08999999999999986,1.9139882735040754,10,0.047022231664580895,0.9999986727515644
shoot_dry_weight_g,T1 - T4,2.42,1.9139882735040756,10,1.2643755625365103,0.7169596530083423
shoot_dry_weight_g,T2 - T3,-0.8000000000000009,1.9139882735040752,10,-0.41797539257405364,0.9925819271228036
shoot_dry_weight_g,T2 - T4,1.5299999999999994,1.9139882735040754,10,0.7993779382978762,0.9249515466271535
shoot_dry_weight_g,T3 - T4,2.33,1.9139882735040752,10,1.2173533308719298,0.7424645780718797
shoot_fresh_weight_g,T0 - T1,3.3333333333333273,4.35124503255486,10,0.7660642662948679,0.9347645089772214
shoot_fresh_weight_g,T0 - T2,7.666666666666656,4.351245032554857,10,1.7619478124781982,0.44298258533002477
shoot_fresh_weight_g,T0 - T3,10.666666666666657,4.351245032554858,10,2.4514056521435807,0.17859649861245208
shoot_fresh_weight_g,T0 - T4,9.999999999999991,4.351245032554858,10,2.2981927988846067,0.22214461170205513
shoot_fresh_weight_g,T1 - T2,4.333333333333329,4.35124503255486,10,0.995883546183329,0.8514440525609804
shoot_fresh_weight_g,T1 - T3,7.33333333333333,4.351245032554859,10,1.685341385848712,0.4827794864038364
shoot_fresh_weight_g,T1 - T4,6.666666666666664,4.351245032554859,10,1.5321285325897385,0.5665370050126224
shoot_fresh_weight_g,T2 - T3,3.000000000000001,4.351245032554858,10,0.6894578396653829,0.954303358362738
shoot_fresh_weight_g,T2 - T4,2.333333333333335,4.351245032554858,10,0.536244986406409,0.9812668695009215
shoot_fresh_weight_g,T3 - T4,-0.6666666666666661,4.351245032554858,10,-0.1532128532589738,0.9998524622413028
root_fresh_weight_g,T0 - T1,-0.5866666666666677,0.4040132011044526,10,-1.4520977657732335,0.6116324860681162
root_fresh_weight_g,T0 - T2,-1.0033333333333336,0.4040132011044524,10,-2.483417201691721,0.17049457821261993
root_fresh_weight_g,T0 - T3,-0.8633333333333337,0.40401320110445244,10,-2.136893871223109,0.2771533896877272
root_fresh_weight_g,T0 - T4,-0.9700000000000005,0.40401320110445244,10,-2.4009116468182423,0.19205896751417928
root_fresh_weight_g,T1 - T2,-0.41666666666666596,0.40401320110445255,10,-1.0313194359184863,0.8355905613727139
root_fresh_weight_g,T1 - T3,-0.27666666666666606,0.40401320110445255,10,-0.6847961054498746,0.9553572723945025
root_fresh_weight_g,T1 - T4,-0.38333333333333286,0.40401320110445255,10,-0.9488138810450079,0.8713593973547468
root_fresh_weight_g,T2 - T3,0.1399999999999999,0.40401320110445244,10,0.34652333046861183,0.9963721461455683
root_fresh_weight_g,T2 - T4,0.033333333333333104,0.4040132011044525,10,0.08250555487347849,0.9999874579310282
